extension,description,used_by
CDP,Trainz Railroad Simulator Content Dispatcher Pack,Trainz Railroad Simulator
CDR,Vector graphics format (drawinF,CorelDraw
CER,Security certificate,Microsoft Windows
CGM,Computer Graphics Metafile vector graphics,A&L - HG - many
CHM,Compiled Help File,"Microsoft Windows, Help Explorer Viewer"
CHO,ChordPro lead sheet (lyrics and chords),ChordPro and similar tools
CIA,Decrypted Nintendo 3DS ROM cartridge,Nintendo 3DS
CIF,Crystallographic Information File,"RasMol, Jmol"
CLASS,Java class file,Java
CMD,Command Prompt batch file,Microsoft Windows NT based operating systems
CMD,executable programs,CP/M-86 operating system
CMOD,Celestia Model,Celestia
CN1,CNR IDL,MITRE
COB,COBOL language source,GnuCOBOL
COE,Coefficient file,Xilinx ISE
COM,DOS program,DOS-
COMPILE,ASP.NET precompiled stub file,
CPC,Compressed image,Cartesian Perceptual Compression
CPIO,cpio archive file,cpio
CPL,Control panel file,Windows 3.x
CPY,COBOL source copybook file,
CR2,Raw image format,Canon digital cameras
CR3,Raw image format,Canon R series cameras
CRAI,CRAM index,
CRAFT,Holds Spacecraft Assembly information,Kerbal Space Program
CRT,Security certificate,Microsoft Windows
CS,C# language source,
CSPROJ,C# project file,Microsoft Visual Studio
CSS,Cascading style sheet,
CSO,"Compiled Shader Object, extension of compiled HLSL",High-Level Shading Language
CSV,Comma Separated Values text file format (ASCII),
CUR,Non-animated cursor (extended from ICO),Windows
D,D Programming Language source file,DMD
D,Directory containing configuration files (informal standard),Unix
DAA,Direct Access Archive,
DAE,COLLADA file,
DAF,Data file,Digital Anchor
DART,Dart (programming language) source file,
DAT,AMPL data file,AMPL
DAT,"LDraw (Sub)Part File, 3D Model",LDraw
DAT,Data,RSNetWorx Project
DAT,Data file in special format or ASCII,
DAT,Database file,Clarion (programming language)
DAT,"Norton Utilities disc image data. It saves Boot sector, part of FAT and root directory in image.DAT on same drive.",Norton Utilities
DAT,"Optical disc image (can be ISO9660, but not restricted to)","cdrdao, burnatonce"
DAT,Video CD MPEG stream,
DAT,"Windows registry hive (REG.DAT Windows 3.11; USER.DAT and SYSTEM.DAT Windows 95, 98, and ME; NTUSER.DAT Windows NT/2000/XP/7)",Microsoft Windows
DATS,Dynamic source,ATS
DBA,DarkBasic source code,
DBC,Database Connection configuration file,AbInitio
DBG,Debugger script,DOS debug - Watcom debugger
DBG,Symbolic debugging information,Microsoft C/C++
DEB,deb software package,Debian Linux and derivatives
DICOM,Digital Imaging and Communications in Medicine (DICOM) bitmap,DICOM Software (XnView)
DIF,Data Interchange Format,Visicalc
DIF,Output from [diff] command - script for Patch command,
DIRED,Directory listing (ls format),Dired
DIVX,DivX media format,
DMG,Apple Disk Image,"macOS (Disk Utility),"
DMP,memory dump file (e.g. screen or memory),
DN,Dimension model format,Adobe Dimension
DNG,"Digital Negative, a-publicly available archival format for the raw files generated by digital cameras","At least 30 camera models from at least 10 manufacturers, and at least 200 software products"
DOC,"A Document, or an ASCII text file with text formatting codes in with the text; used by many word processors",Microsoft Word and others
DOCM,Microsoft Word Macro-Enabled Document,Microsoft Word
DOCX,Microsoft Word Document,Microsoft Word
DOT,Microsoft Word document template,Microsoft Word
DOTX,Office Open XML Text document template,Microsoft Word
DPX,Digital Picture Exchange,
DRC,Dirac format video,
DSC,Celestia Deep Space Catalog file,Celestia
DTD,Document Type Definition,
DVC,Data version control yaml pointer into blob storage,
DWF,Autodesk Design Web Format,Design Review
DWG,Drawing,"AutoCAD, IntelliCAD, PowerCAD, Drafix, DraftSight etc."
DXF,Drawing Interchange File Format vector graphics,"AutoCAD, IntelliCAD, PowerCAD, etc."
E,E language source code,E
E##,EnCase Evidence File chunk,EnCase Forensic Analysis Suite entity
E00,ArcInfo interchange file,GIS software
E2D,2-dimensional vector graphics file,Editor included in JFire
e57,A file format developed by ASTM International for storing point clouds and images,Most software that enables viewing and/or editing of 3D point clouds
EBD,"versions of DOS system files (AUTOEXEC.BAT, COMMAND.COM, CONFIG.SYS, WINBOOT.SYS, etc.) for an emergency boot disk","Windows 98, ME"
EC,Source code,eC
ECC,Error-checking file,dvdisaster
EDE,Ensoniq EPS disk image,AWAVE
EDF,European data format,Medical timeseries storage files
EFI,Extensible Firmware Interface,
EIS,EIS Spectrum Analyser Project,EIS Spectrum Analyser Archived 2010-03-29 at the Wayback Machine
EL,Emacs Lisp source code file,Emacs
ELC,Byte-compiled Emacs Lisp code,Emacs
ELF,Executable and Linkable File EurekaLog File (contains details of an exception),Unix EurekaLog (https://www.eurekalog.com/)
EMAIL,Outlook Express Email Message,"Windows Live Mail, Outlook Express, Microsoft Notepad"
EMAKER,E language source code (maker),E
EMF,Microsoft Enhanced Metafile,
EML,Email conforming to RFC 5322; Stationery Template,Email clients;Outlook Express
EMZ,Microsoft Enhanced Metafile compressed with ZIP,Microsoft Office suite
EOT,Embedded OpenType,
EP,GUI wireframe/prototype project,"Prikhi Pencil, Evolus Pencil"
EPA,Award BIOS splash screen,"Award BIOS, XnView"
EPS,Encapsulated PostScript,CorelDraw - PhotoStyler - PMView - Adobe Illustrator - Ventua Publisher
EPUB,Electronic Publication (e-Reader format),Okular (Linux) - Apple Books - Sony Reader - Adobe Digital Editions - Calibre (LMW)
EU4,Europa Universalis 4 save game file,Europa Universalis 4
ERL,Erlang source code file,
ES6,ECMAScript 6 file,
ESCPCB,"Data file of ""esCAD pcb"", PCB Pattern Layout Design Software",esCAD pcb provided by Electro-System
ESCSCH,"Data file of ""esCAD sch"", Drawing Schematics Diagram Software",esCAD sch provided by Electro-System
ESD,Windows Imaging Format,"ImageX, DISM, 7-Zip, wimlib"
ETL,event trace log file,Microsoft
EVT,Windows Event log file,Microsoft Windows NT 4.0 - XP; Microsoft Event Viewer
EVTX,Windows Event log file XML structured,"Microsoft Windows Vista, 7, 8; Microsoft Event Viewer"
EX,Elixir source code file,Elixir programming language running on BEAM (Erlang virtual machine)
EXE,Directly executable program,"DOS, OpenVMS, Microsoft Windows, Symbian or OS/2"
EXP,Drawing File format,Drawing Express
EXP,Melco Embroidery Format,Embroidermodder
EXS,Elixir script file,Interactive Elixir (IEx) shell
F,Forth language source code file,Forth development systems
F,Fortran language source code file (in fixed form),Many Fortran compilers
F01,Fax,perfectfax
F03,Fortran language source code file (in free form),Many Fortran compilers
F08,Fortran language source code file (in free form),Fortran compilers
F18,Fortran language source code file (in free form),Fortran compilers
F4,Fortran IV source code file,Fortran IV source code
F4V,A container format for Flash Video that differs from the older FLV file format (see also SWF),Adobe Flash
F77,Fortran language source code file (in fixed form),Many Fortran compilers
F90,Fortran language source code file (in free form),Many Fortran compilers
F95,Fortran language source code file (in free form),Many Fortran compilers
FA,FASTA format sequence file,
FAA,FASTA format amino acid,
FACTOR,Factor source file,
FASTA,FASTA format sequence file,
FASTQ,FASTQ format sequence file,
FB,Forth language block file,Forth development systems
FB2,FictionBook e-book 2.0 file (DRM-free XML format),e-book readers
FBX ,"3D model geometry, material textures, lighting, armature, and animation sequences for inter application use/transport",Autodesk
FEN,Forsyth–Edwards Notation,Chess applications -text data describes a specific position.
FF,Farbfeld image,
FFN,FASTA format nucleotide of gene regions,
Fit,CurvFit Input file format,CurvFit software
FITS,Flexible Image Transport System,astronomy software
FLAC,"Audio codec, Audio file format",
FLAME,Fractal configuration file,Apophysis
FLP,FL Studio project file,FL Studio
FLV,A container format for Flash Video (see also SWF),Adobe Flash
FNA,FASTA format nucleic acid,
FNI,FileNet Native Document,FileNet
FNX,Saved notes with formatting in markup language,FeatherNote
FODG,OpenDocument Flat XML Drawings and vector graphics,"OpenDocument, LibreOffice, Collabora Online"
FODP,OpenDocument Flat XML Presentations,"OpenDocument, LibreOffice, Collabora Online"
FODS,OpenDocument Flat XML Spreadsheets,"OpenDocument, LibreOffice, Collabora Online"
FODT,OpenDocument Flat XML Text Document,"OpenDocument, LibreOffice, Collabora Online"
FOR,Fortran language source file,many
FQL,Fauna Query Language source file,Fauna
Freq,Match-n-Freq (TM) Input file format,Match-n-Freq software
FRAG,"Fragment File, usually stored on MOVPKG files",MOVPKG
FRM,MySQL Database Metadata,MySQL
Frq7,Match-n-Freq (TM) version 7+ Input file format,Match-n-Freq software
FS,F# source file,F# compilers
FS,Forth language source code file (often used to distinguish from .fb),Forth development systems
FTH,Forth language source code file,Forth development systems
G4,ANTLR4 grammar,ANTLR4
GBR,Gerber format,PCB CAD/CAM
GDF,General Data Format for Biomedical Signals,"Biomedical signal processing, Brain Computer Interfaces"
GDT,"Gerätedatentransfer, an xDT application",Healthcare providers in Germany
GED,GEDCOM,Genealogy data exchange
GGB,GeoGebra File,GeoGebra
GIF,Compuserves' Graphics Interchange Format (bitmapped graphics),QPeg - Display - CompuShow
GM9,Scripts for GodMode9,Godmode9
GMI,Gemtext markup language,Gemini (Protocol)
GMK,GameMaker Project File,YoYo Games
GML,Geography Markup Language File,Geography Markup Language
GO,Go source code file,Go (Programming language)
GREXLI,Uncompressed folder as a file,WinGrex/GrexliLib
GSF,Generic sensor format,"Used for storing bathymetry data, such as that gathered by a multibeam echosounder."
GPX,GPS eXchange Format,
GRP,Data pack files for the Build Engine,Duke Nukem 3D
GTF,Gene transfer format,
GV,Graph Visualization,Graphviz
GZ,gzip compressed data,gzip
H!,On-line help file,Flambeaux Help! Display Engine
H!,Pertext database,HELP.EXE
H--,C-- language header,Sphinx C--
H,Header file (usually C language),Watcom C/C++
H++,Header file,C++
HA,Archive,HA
HACK,Source file for the programming language hack,The HHVM
HAR,HTTP Archive format (JSON-format web-browser log),W3C draft standard
HDI,Hard Disk Image file (PC-9800 disk image file),PC-9800 emulators
HDMP,heap dumpfile,
HH,C++ header file,
HOF,Basic Configuration file,OMSI The Bus Simulator
HOI4,Hearts Of Iron 4 file,Hearts Of Iron 4 Save game
HPP,C++ header file,Zortech C++ - Watcom C/C++
HTA,HTML Application,Microsoft Windows
HTM,see HTML,
HTML,Hypertext Markup Language (WWW),Netscape - Mosaic - many
HUM,3D Model database,OMSI The Bus Simulator
HXX,C++ header file,
ICC,ICC profile,Color Configuration for color input or output devices
ICE,LHA Archive,"Cracked LHA (old LHA), Total Commander"
ICL,Icon library,Microsoft Windows
ICO,Icon file,ICONEDIT.EXE; Microsoft Windows
IFC,"Industry Foundation Classes (platform neutral, open file format used by BIM software). It is registered by ISO and is an official International Standard ISO 16739-1:2018.",BIM software
IGC,Flight tracks downloaded from GPS devices in the International Gliding Commission's prescribed format,
IGES,Initial Graphics Exchange Specification,
IMG,Disk image,
INFO,Texinfo hypertext document,"Texinfo, info (Unix), Emacs"
INI,Configuration file,
IO,Archive,CPIO
IPT,XnView IPTC template,"XnView, XnViewMP"
IRX,"""IOP Relocatable eXecutable"". Library files to dynamically link application code to the Input/Output Processor on the PS2 to communicate with devices like memory cards, USB devices, etc.",Sony PlayStation 2
ISO,ISO-9660 table,see: List of ISO image software
IT,Impulse Tracker music file,Impulse Tracker
JL,Julia script file,Julia (programming language)
J2C,JPEG 2000 image,JPEG 2000
JAR,Java archive,"JAR, Java Games and Applications"
JAV,see JAVA,
JAVA,Java source code file,
JBIG,Joint Bilevel Image Group,
JNLP,Java Network Launching Protocol,Java Web Start
JP2,JPEG 2000 image,
JPE,Joint Photographic Experts Group graphics file format,Minolta/Konica Minolta cameras use this for JPEGs in Adobe RGB color space
JPEG,Joint Photographic Experts Group graphics file format,QPeg - FullView - Display
JPG,Joint Photographic Group,various (Minolta/Konica Minolta cameras use this for JPEGs in sRGB color space)
JS,JavaScript file,script in HTML pages
JSON,JSON (JavaScript Object Notation),Ajax
JSP,Jakarta Server Pages,Dynamic pages running Web servers using Java technology
JXL,JPEG XL raster graphics file,
KEY,Keynote Presentation,Keynote
KLC,MSKLC Source file,Microsoft Keyboard Layout Creator
KML,Keyhole Markup Language,Google Earth
KMZ,Keyhole Markup Language (Zip compressed),Google Earth
KO,Linux kernel module format system file,Linux
KRA,Krita image file,Krita
KSH,Kornshell source file,Kornshell
KT,Kotlin source code file,Kotlin Programming Language
KV,Kivy,
LABEL,Dymo label file,Dymo desktop software
LBR,.LBR Archive,for CP/M and MS-DOS using the LU program
LDB,.LDB Leveldb data file,Google key-value storage library
LDB,.LDB MDB Database lock file,Microsoft Access Database
LDT,"Labordatenträger, an xDT application",Healthcare providers in Germany
LHA,LHA Archive,"LHA/LHARC, Total Commander"
LISP,LISP source code file,
LL,LLVM Assembly Language,llvm
LM,Language Model File,Microsoft Windows
LNK,Local file shortcut,Microsoft Windows
LOGICX,Logic Pro files,"Logic Pro (MacOS, iPadOS)"
LRC,Lyrics file,Lyrics for karaoke-related system and program
LUA,Lua script file,Lua (programming language)
LZ,Archive,Lzip
M,Mathematica Package File,Mathematica
M,MATLAB M-File,MATLAB
M,Mercury Source File,Mercury
M,Source code,Objective-C
M2TS,BDAV MPEG-2 transport stream,
M3U,MPEG Audio Layer 3 Uniform Resource Locator playlist,Media players
M3U8,"MPEG Audio Layer 3 Uniform Resource Locator playlist, using UTF-8 encoding",Media players
M3U,MPEG Audio Layer 3 Uniform Resource Locator playlist,Media players
M4A,MPEG-4 Part 14 audio,iTunes Store
M4P,DRM-encumbered MPEG-4 Part 14 media,iTunes Store (formerly)
M4R,See M4A,Apple iPhone ringtones
M4V,"MPEG-4 Part 14 video, which may optionally be encumbered by FairPlay DRM","iTunes Store, Handbrake"
M64,Mupen64 gameplay recording,Mupen64
MCF,Multimedia Container Format (predecessor of Matroska),
MD,Markdown-formatted text file,Markdown
MDF,"Master Data File, a Microsoft SQL Server file type",Microsoft SQL Server
MDF,"Measurement Data Format, a binary file format for vector measurement data","automotive industry, developed by Robert Bosch GmbH"
MDI,"Document save in high-resolution, created by MSOffice to scan documents (OCR) and turn them into a .DOC",Microsoft Office
MDG,"Digital Geometry (Programmable CAD) file format, developed by DInsight",Digital Geometric Kernel
MDL,Model,3D Design Plus or Simulink
MDS,Midi Session,Sound Imp.
MEX,MEX file (executable command),Matlab
MGF,Materials and Geometry Format,
MHT,MIME encapsulation of aggregate HTML documents,Web Browsers
MID,Standard MIDI file,"music synthetizers, Winamp"
MKA,Matroska audio,
MKV,Matroska video,
MM,Source code,Objective-C++
MNT,Surface metrology or image analysis document,MountainsMap
MOBI,eBook,"Mobipocket, Kindle"
MOD,AMPL model file,AMPL
MOD,Modula language source,
MOD,Modula-2 source code file,Clarion Modula-2
MODULES,Module,GTK+
MOL,MDL Molfile,RasMol
MOL2,Tripos Sybyl MOL2 Format,"SYBYL, RasMol"
MOP,MOPAC input file,"MOPAC, RasMol"
MOV,Animation format (Mac),"QuickTime, AutoCAD AutoFlix"
MP2,MPEG audio file,"Winamp, xing"
MP3,"MPEG audio stream, layer 3","AWAVE, CoolEdit(+PlugIn), Winamp, many others"
MP4,"multimedia container format, MPEG 4 Part 14",Winamp
MPA,"MPEG audio stream, layer 1,2,3",AWAVE
MPC,Musepack audio,
MPD,LDraw file (multi-part DAT file),LDraw
MPEG,"multimedia containter format, video, audio","MPEG Player, Winamp"
MPG,see MPEG,
MSC,management saved console,Microsoft; Microsoft MMC
MSAV,Mindustry map file,Mindustry
MSDL,Manchester Scene Description Language,
MSF,Multiple sequence file (Pileup format),
MSI,Windows Installer Package,Microsoft Windows
MSO,Microsoft Outlook metadata for a Microsoft Word 2000 email attachment,Microsoft Outlook
MSSTYLES,Windows visual style file,Microsoft Windows
MSU,Microsoft Update Package,Microsoft Windows
MTS,See M2TS,
MXF,"Material exchange format (RFC 4539, SMPTE 377M)",
MYD,a MyISAM data file in MySQL,"MyISAM, MySQL"
MYI,a MyISAM index file in MySQL,"MyISAM, MySQL"
NB,Wolfram Mathematica Notebook (see Wolfram Language),Mathematica
NC,Binary Data,netCDF software package
NC,Instructions for NC (Numerical Control) machine,CAMS
NC,Name code program,namec-git/namec software package
NCD,"NC Drill File (Excellon Format, printed circuit board hole definitions)",Most PCB layout software
NDS,Nintendo DS file. Used for Homebrew and official games.,Nintendo DS Consoles and Emulators
NEF,Nikon RAW image format,Nikon cameras
NEU,Pro/Engineer neutral file format,PTC Pro/Engineer
NF,Instructions for NC machine made by TRUMPF,TRUMPF
NFO,iNFO for accompanying media files,"Kodi, Plex"
NIM,Nim source code file,Nim
NMF,Node Map File,Used by SpicyNodes
NPR,Nuendo Project File,Steinberg Nuendo
NRO,Nintendo Switch executable file,
NRW,Nikon Coolpix RAW image,Nikon
NS1,NetStumbler file,NetStumbler
NSA,media,Nullsoft Streaming Audio
NSF,NES sound format file,Transfer of NES music data
NSV,media,Nullsoft Streaming Video
NUMBERS,Numbers spreadsheet file,Numbers
"NWD, NWF",Navisworks 3D drawing,Navisworks
O,Object file,UNIX - Atari - GCC
OBJ,Compiled machine language code,
OBJ,Object code,Intel Relocatable Object Module
OBJ,Wavefront Object,
OBS,Script,ObjectScript
OCX,OLE custom control,
ODB,Database front end document,"OpenDocument, LibreOffice"
ODF,"Formula, mathematical equations","OpenDocument, LibreOffice"
ODG,Drawings and vector graphics,"OpenDocument, LibreOffice, Collabora Online"
ODP,Presentations,"OpenDocument, LibreOffice, Collabora Online"
ODS,Spreadsheets,"OpenDocument, LibreOffice, Collabora Online"
ODT,Text (Word processing) documents,"OpenDocument, LibreOffice, Collabora Online"
OGA,Audio file in the Ogg container format,libogg
OGG,Vorbis audio in the Ogg container format,libogg
OGV,Video file in the Ogg container format,libogg
OGX,Ogg Multiplex Profile,libogg
OPUS,Ogg/Opus audio file,"mpv, mplayer, many others (official file format)."
ORG,Emacs Org mode,Emacs Org mode major mode
ORG,Older Origin Project,Origin versions 4 or earlier
OSC,OpenStreetMap Changeset,OpenStreetMap
OSK,Osu! Skin,Osu!
OSM,OpenStreetMap data,OpenStreetMap
OSM,OpenStreetMap note,OpenStreetMap
OST,Offline Storage Table,"Microsoft e-mail software: Outlook Express, Microsoft Outlook"
OSZ,Osu! Beatmap,Osu!
OTB,Over-the-air bitmap graphics,
OTF,OpenType font,
OTL,The Vim Outliner,A vim plugin
OTF,"Formula, mathematical equations template","OpenDocument, LibreOffice, Collabora Online"
OTG,Drawings and vector graphics template,"OpenDocument, LibreOffice, Collabora Online"
OTP,Presentations template,"OpenDocument, LibreOffice, Collabora Online"
OTS,Spreadsheets template,"OpenDocument, LibreOffice, Collabora Online"
OTT,Text (Word processing) documents template,"OpenDocument, LibreOffice, Collabora Online"
OV2,Overlay file (part of program to be loaded when needed),TomTom Point of Interest
OWL,Web ontology language (OWL) file,Protégé and other ontology editors
OXT,OpenOffice.org extension,OpenOffice.org / LibreOffice
P,Database PROGRESS source code,PROGRESS
P,PASCAL source code file,
P,Parser source code file,
P10,Certificate Request,
P12,Personal Information Exchange,"""Crypto Shell Extensions"""
PACK,Pack200 Packed Jar File,
PAGES,Pages document file,Pages
PAK,Archive,Pak
PAL,Paint Shop Pro color palette (JASC format),"PaintShop Pro, XnView"
PAM,PAM Portable Arbitrary Map graphics format,Netpbm
PAR,Parity Archive,
PAR2,Parity Archive v2,
PAS,Pascal language source,Borland Pascal
PAX,pax archive file,"pax, GNU Tar"
PBLIB,Power Library,PowerBASIC
PBO,A file type used by Bohemia Interactive,"Arma 3, PBO Manager"
PCL,HP-PCL graphics data file,HP Printer Command Language
PCS,PCSurvey file,PCSurvey by Softart - Land Surveying Software
PCX,PC Paintbrush file,PC Paintbrush
PDB,debugging data,Microsoft Windows
PDB,Molecule (protein data bank),
PDE,Processing source code file,Processing programming language
PDF,Adobe's Portable Document Format,Adobe Acrobat Reader
PDI,Portable Database Image,
PDM,Program,Deskmate
PDM,PowerDesigner's physical data model (relational model) file format,PowerDesigner
PDM,Visual Basic (VB) Project Information File,Visual Basic
PDN,Image file,Paint.NET
PDS,PALASM Design Description,
PDS,Planetary Data System Format,
PEM,A text-based certificate file defined in RFC 1421 through RFC 1424,"Applications that need to use cryptographic certificates, including web-servers"
pet,package,Puppy Linux
PFA,PostScript Font File,
PFA,Type 3 font file (unhinted PostScript font),
PFAM,PFAM format,
PFB,PostScript font,Adobe Type Manager (ATM)
PFC,"(Personal Filing Cabinet) contains e-mail, preferences and other personal information",AOL
PFM,PostScript Type 1 font metric file,"Microsoft Windows, Adobe Acrobat Reader"
PFM,Windows Type 1 font metric file,
PGN,Portable Game Notation -Text specification for Chess game,Most chess playing computer applications
PFX,An encrypted certificate file,"Applications that need to use cryptographic certificates, including web-servers"
PHF,Database File,Nuverb Systems Inc: Donarius
PHN,Phun scene,Algodoo (previously Phun)
PHP,PHP file,
PHP3,PHP 3 file,
PHP4,PHP 4 file,
PHR,Phrases,LocoScript
PHY,Phylip format,
PHZ,Algodoo scene,Algodoo
PI2,Portrait Innovations High Resolution Encrypted Image file,Portrait Innovations Studio2 (proprietary)
PIE,GlovePIE script file,GlovePIE
PIR,PIR format,
PIT,Compressed Mac file archive created by PACKIT,unpackit.zoo
PIT,Partition Information Table for Samsung's smartphone with Android,Odin3
PK3,Quake III engine game data,
PKL,Pickle file,Python object serialization
PKA,Archive,PKARC
PL,Perl source code file,
PL,Prolog source code file,
PL,IRAF pixel list,IRAF astronomical data format
PLI,PL/I source file,PL/I compilers
PLR,Terraria player/character file,Terraria
PLS,"Multimedia Playlist, primarily for streaming","Shoutcast, IceCast, others"
PM,Perl module,
PMA,PMarc Archive,
PNG,Portable Network Graphics file,"Web browsers, image viewing and editing applications"
POM,Build manager configuration file,Apache Maven POM file
PPEG,parsimonious PEG grammar,parsimonious parser generator
PPTX,MS Office Open-XML Presentation,Microsoft PowerPoint
PPSX,MS Office Open-XML Auto-Play Presentation,Microsoft PowerPoint
PRJ,Mkd (Unix command),Mkd project file to extract documentation
PROTO,Message specification,Google Protocol Buffers
PRP,Plasma Registry Page,Plasma (engine)
PS,Adobe Postscript file,PostScript
PSD,Photoshop native file format,Adobe Photoshop
PSDC,Photoshop Cloud Document,Adobe Photoshop
PSM1,Windows Powershell module,Windows Powershell
PSPPALETTE,Paint Shop Pro color palette (JASC format),Paint Shop Pro 8.0 and newer
PST,Archive File,Microsoft Outlook
PS1,Windows Powershell script,Windows PowerShell
PTF,PlayStation Portable Theme file,PSP Theme settings menu
PTF,Pro Tools Session File,Digidesign/Avid Pro Tools version 7 up to version 9
PTS,Pro Tools Session File,Digidesign Pro Tools (legacy version)
PTX,Pro Tools Session File,Avid Pro Tools version 10 or later
PUB,Public key ring file,Pretty Good Privacy RSA System
PUP,Pileup format,
PY,Python script file,Python (programming language)
QFX,Quicken-specific implementation of the OFX specification,Intuit Quicken
QIF,Quicken Interchange Format,Intuit Quicken
QLC,ATM Type 1 fonts script,Adobe Type Manager
QOI,Quite OK Image Format,"Web browsers, image viewing and editing applications"
QT,QuickTime movie (animation),
QTVR,QuickTime VR Movie,
R,Ratfor file,Ratfor
R,Script file,R
"R00, R01, ...",Part of a multi-file RAR archive,RAR
R2D,Reflex 2 datafile,Reflex 2
R3D,Red Raw Video (raw video data created with a Red camera),Red Camera
R8P,PCL 4 bitmap font file,Intellifont
RAD,2-op FM music,Reality AdLib Tracker
RAD,Radiance,Radiance
RAL,Remote Access Language file,Remote Access
RAM,Ramfile,RealAudio
RAP,Flowchart,RAPTOR
RAR,Archive,RAR
RAS,Graphics format,SUN Raster
RB,Ruby Script file,
RC,Configuration file,"emacs, Vim (text editor), Bash (Unix shell)"
RC,Resource Compiler script file,"Microsoft C/C++, Borland C++"
RDP,RDP connection,Remote Desktop connection
RDS,Data file,R
RES,Compiled resource,"Microsoft C/C++, Borland C++"
RKT,Racket language source file,DrRacket integrated development environment (IDE) for the Racket (programming language)
RM,RealMedia,RealPlayer
RMD ,R Markdown,RStudio
RMVB,RealMedia Variable Bitrate,RealPlayer
Rob,Robot4 (TM) Input file format,Robot4 software
ROL,AdLib Piano Roll,AdLib Visual Composer
RPM,RPM software package,"Red Hat Linux, the Linux Standard Base and several other operating systems"
RS,Rust language source,
"RSL, RSLS, RSLF",Resilio Sync File Placeholder,
RST,reStructuredText,Docutils
RTF,Rich Text Format text file (help file script),many - Microsoft Word
RUN,AMPL script file,AMPL
RUN,Makeself shell self-extracting archive,shell
S,assembler source code file,Unix
S7I,Seed7 library / include file,Seed7 interpreter and compiler
SAIF,Spatial Archive and Interchange Format,
SASS,"Sass stylesheet language, indented-format",
SAT,ACIS ACIS .sat,
SAV,SPSS tabular data (binary),"PSPP, SPSS"
SB,Scratch project,Scratch
SB2,Scratch 2.0 project,Scratch
SB3,Scratch 3.0 project,Scratch
