Extension,Popularity
.bitcoinpaymentrequest,Low
.bitmap,Medium
.bitpim,Low
.biz,Low
.bi_,Low
.bjar,Low
.bk,Low
.bk1,Low
.bk2,Low
.bk3,Low
.bkf,Very High
.bkg,Low
.bko,Low
.bkr,Low
.bks,Medium
.bkz,Low
.bl1,Low
.bl2,Low
.bl3,Low
.blackhawkstriker2savedgame,Low
.blake2sp,Low
.blake3,Low
.blasterball2drm3savedgame,Low
.blasterball2holidayssavedgame,Low
.blasterball2remixsavedgame,Low
.blasterball3savedgame,Low
.blb,Low
.blend,Medium
.blf,Low
.blg,Very High
.blk,High
.blkx,Low
.blogthis,Very High
.blorb,Low
.blp,Low
.bls,Low
.bluej,Low
.bluestacks,Medium
.blw,Very High
.bm,Medium
.bmc,Low
.bmd,Low
.bmdx,Low
.bmf,Low
.bmk,Low
.bml,Low
.bmml,Low
.bmo,Low
.bmp,Very High
.bmpenx,Low
.bmpr,Low
.bmpskin,Low
.bmr,Low
.bms,Medium
.bmt,Low
.bmv,Low
.bm_,Low
.bnd,Low
.bnt,Low
.bobthebuildersavedgame,Low
.boe,Low
.bof,Low
.bok,Low
.boo,Low
.book,Low
.boomvoyagesavedgame,Low
.bootskin,Low
.bootstrap,Low
.bos,Low
.bot,Low
.bouncesavedgame,Low
.bow,Low
.bowerrc,Low
.box,Low
.bp,Low
.bp3,Low
.bpa,Low
.bpdx,Very High
.bpf,Low
.bpg,Medium
.bpj,Low
.bpk,Low
.bpl,Low
.bpm,Low
.bpmc,Low
.bpoly,Low
.bpp,Low
.bpr,Medium
.bprc,Low
.bpx,Low
.br,Low
.br2,Low
.brain,Low
.brainzip,Low
.braw,Low
.bri,Low
.brickshooteregyptsavedgame,Low
.bricksofcamelotsavedgame,Low
.bricksofegyptsavedgame,Low
.brk,Low
.bro,Low
.brp,Low
.brs,Low
.brstm,Low
.brstmspm,Low
.bru,Medium
.brushcategory,Low
.brushlibrary,Low
.brushvariant,Low
.brx,Low
.bs,Low
.bs4,Low
.bsa,Low
.bsc,Very High
.bscomp,Low
.bscp,Low
.bsdesign,Low
.bsed,Low
.bsf,Medium
.bsh,Low
.bsi,Low
.bsl,Low
.bsp,Very High
.bss,Low
.bsskin,Low
.bsz,Low
.bt,Low
.btapp,Very High
.btb,Low
.btd,Low
.btf,Low
.bti,Low
.btinstall,Very High
.btkey,Very High
.btm,Low
.btmn,Low
.btoa,Low
.btod,Low
.btp,Low
.btpl,Low
.bts,Low
.btsearch,Very High
.btskey,Low
.btskin,Very High
.btwsendto,High
.bubblefishbobsavedgame,Low
.bubbleshootersavedgame,Low
.build,Low
.buildalot2savedgame,Low
.buildalot3savedgame,Low
.buildalotsavedgame,Low
.buildinggreatwallofchinacesavedgame,Low
.buj,Low
.bulk,Low
.bulk-001,Low
.bumptheme,Low
.bumpwidget,Low
.bun,Low
.bundle%2dcontents,Low
.bup,High
.bus,Low
.butterflyescapesavedgame,Low
.bvd,Low
.bvr,Low
.bvy,Low
.bw,Very High
.bwf,High
.bwi,Medium
.bwp,Low
.bwpr,Low
.bwt,Very High
.bww,Low
.bwz,Medium
.bxml,Low
.bxrc,Low
.bxt,Low
.byp,Low
.bz,Very High
.bz2,Very High
.bza,Low
.bzb,Low
.bzip,Low
.bzip2,Very High
.bzt,Low
.bzz,Low
.b_w,Low
.c,Very High
.c++,Low
.c13,Low
.c2d,Very High
.c2r,Very High
.c2u,Low
.c32,Low
.c3l,Low
.c4b,Low
.c4d,Low
.c4f,Low
.c4g,Low
.c4i,Low
.c4k,Low
.c4l,Low
.c4m,Low
.c4p,Low
.c4s,Low
.c4u,Low
.c4v,Low
.c64,Low
.ca,Low
.ca1,Low
.ca2,Low
.ca3,Low
.cab,Very High
.cache,Low
.cache-3,Low
.cachedump,Low
.caction,Low
.cae02,Low
.caf,Very High
.caff,Low
.cag,Low
.cah,Low
.cakemaniasavedgame,Low
.cakewalkstudioware,Low
.cakewalkwindowlayout,Low
.cal,High
.calib,Low
.calibz,Low
.caliperskin,Low
.cals,Medium
.calx,Low
.cam,Very High
.cam360,Low
.camelsounds,Low
.caml,Low
.camm,Low
.camp,Very High
.camproj,Medium
.camrec,Medium
.camthtr,Low
.camv,Low
.cannonblastsavedgame,Low
.cap,Very High
.caps,Low
.car,Low
.cas,Low
.cat,Very High
.cat3dexpoperation,Low
.catalog,Low
.catanalysis,Low
.catcatalog,Low
.catdrawing,Low
.catmaterial,Low
.catpart,Low
.catprocess,Low
.catproduct,Low
.catscript,Low
.catsettings,Low
.catshape,Low
.catsystem,Low
.catvbs,Low
.catwashsavedgame,Low
.ca_,Low
.cb,Low
.cb2,Low
.cb7,Medium
.cba,Low
.cbf,Low
.cbl,Low
.cbo,Low
.cbp,Medium
.cbproj,Low
.cbr,Very High
.cbt,Medium
.cbw,Low
.cbx,Low
.cbz,Very High
.cc,Very High
.cca,Low
.ccc,Low
.ccd,Very High
.ccf,High
.ccgame,Medium
.cch,Low
.cci,Low
.ccip,Medium
.ccl,Low
.ccproj,Low
.ccpuni,Low
.ccpunizs32,Low
.ccr,Low
.ccs,Low
.cct,Low
.ccu,Low
.ccx,Low
.ccz,Low
.cc~,Low
.cd,Very High
.cd5,Low
.cda,Very High
.cdadj,Low
.cdb,Low
.cdc,Very High
.cdda,Very High
.cdf,Very High
.cdg,Low
.cdi,Very High
.cdk,Low
.cdl,Low
.cdlx,Medium
.cdm,Low
.cdmp,Very High
.cdo,Low
.cdoc,Low
.cdr,Very High
.cdrom,Low
.cdrt,Low
.cds,Low
.cdt,Medium
.cdu,Low
.cdw,Low
.cdwlxml,Low
.cdx,Very High
.cdxl,Low
.cdxml,Very High
.cedf,Low
.cedprj,Medium
.cekey,Low
.cel,Very High
.cell,Low
.cells,Low
.celtx,Low
.celx,Low
.cem,Low
.ceph,Low
.cept,Low
.cer,Very High
.cert,Low
.cesf,Low
.cetrace,Low
.cetrainer,Medium
.cex,Low
.cezeokey,Low
.cf,Low
.cf1,Low
.cf2,Low
.cf3,Low
.cf7,Low
.cfa,Low
.cfc,High
.cfexe,Low
.cff,Medium
.cfg,Very High
.cfm,Very High
.cfml,Low
.cfn,Low
.cfo,Low
.cfos6link,Low
.cfospnet,Low
.cfosspeed,Low
.cfp,Low
.cfs,Low
.cft,Low
.cfx,Low
.cfxxe,Low
.cg,Medium
.cgb,Low
.cgf,Low
.cgi,Low
.cgl,Low
.cgm,High
.cgrp,Low
.ch,Low
.ch4,Low
.ch6,Low
.ch8,Low
.cha,Very High
.challenge_plain,Low
.chameleongemssavedgame,Low
.changedb,Low
.chapters,Low
.chat,Low
.chd,Low
.che,Low
.check,Low
.chesstitanssave-ms,Very High
.chf,Low
.chk,Very High
.chl,Low
.chls,Low
.chlsj,Low
.chlsx,Low
.chm,Very High
.chmprj,Low
.chm_aq,Low
.chp,Low
.chproj,Low
.chpscrap,Low
.chr,Medium
.chs,Low
.cht,Low
.chuzzledeluxesavedgame,Medium
.chw,Low
.chx,High
.chy,Low
.ch_,Low
.ci,Low
.cida,Low
.cif,Very High
.cil,High
.cilx,Low
.cin,Very High
.ciso,Low
.cit,Low
.citrixonline,Low
.citrixonline312,Low
.citrixonline393,Low
.citrixonline408,Low
.citrixonline445,Low
.citrixonline491,Low
.civ4replay,Low
.civ4savedgame,Low
.civ4worldbuildersave,Low
.civ5map,Low
.civ5proj,Low
.civ5sln,Low
.civbeyondswordreplay,Low
.civbeyondswordsave,Low
.civbeyondswordwbsave,Low
.civwarlordsreplay,Low
.civwarlordssave,Low
.civwarlordswbsave,Low
.ciw,Low
.ckz,Low
.cl2,Low
.cl3,Low
.cl5,Low
.cl7,Low
.cla,Low
.clas,Low
.class,Medium
.classdiagram,Medium
.clb,Low
.cld,Low
.cli,Low
.clj,Low
.cljs,Low
.cljx,Low
.clk,Medium
.clm,Low
.clm2,Low
.clmlic,Low
.clms,Low
.clo,Low
.cloe,Low
.clojure,Low
.clonecd,Low
.clonedvd,Low
.clonedvdmobile,Low
.clp,Very High
.clr,Very High
.cls,High
.clsj,Low
.clt,Low
.clx,Very High
.cly,Low
.cm1,Low
.cm10rcmlayoutevent,Low
.cm10rcmlayoutevent.1,Low
.cm10rcmresourceloader,Low
.cm12rcmlayoutevent,Low
.cm12rcmlayoutevent.1,Low
.cm12rcmresourceloader,Low
.cm2,Low
.cm3,Low
.cmap,Low
.cmb,Low
.cmbl,Low
.cmc,Low
.cmcsend,Low
.cmd,Very High
.cmdb,Low
.cmdsh,Low
.cmd_aq,Low
.cme,Low
.cml,Low
.cmm,Low
.cmmp,Medium
.cmmtpl,Medium
.cmp,Low
.cmp7,Low
.cmpgn,Low
.cmr,Low
.cms,Low
.cmt,Low
.cmx,High
.cmz,Low
.cm_,Low
.cnf,Very High
.cnk,Low
.cns,Low
.cnt,Low
.cnv,Low
.cn_,Low
.co,Low
.cob,Low
.cod,Very High
.cof,Low
.coffee,High
.coffeerushsavedgame,Low
.coffeetycoonsavedgame,Low
.col,Very High
.collapsesavedgame,Low
.collection,Very High
.colorproject,Low
.colpkg,Low
.com,Very High
.com%252fa%253ff%253d2142030097%2526pn%253dcomcast%2526p%253dc,Low
.com%252fa%253ff%253d2142030098%2526pn%253dcomcast%2526p%253dc,Low
.com%2f%3fp%3dnews,Low
.com&adsafe=adultsonly&num_radlinks=15&dt=1299879193548&u_tz=6,Low
".com,s=98980_2,s",Low
".com,s=99301_2,s",Low
.com-googlemail#database,Low
.comfycakessave-ms,Very High
.comicdoc,Low
.comicstl,Low
.comictpl,Low
.command,Low
.commandline,Low
.comparison7,Low
.componentdiagram,Medium
.compositefont,Very High
.com_,Low
.com_0,Low
.com_aq,Low
.com_bookmarks,Low
.com}-_jailbait_pics,Low
.con,Low
.conf,Very High
.confd-journal,Low
.config,Very High
.configprofile,Low
.configsettings,Low
.consis,Low
.contact,Very High
.contacts,Low
.container,Low
.content,Low
.contentsonclipboard,Low
.controlpanel,Low
.cookiedb,Low
.cool,Low
.copyright,Low
.cord,Low
.core,Low
.corelextension,Low
.corelproject,Low
.corelshow,Low
.corelshowproject,Low
.cov,High
.coverage,Very High
.coveragexml,Very High
.co_,Low
.cp,Medium
.cpbitmap,Low
.cpc,Low
.cpdf,Low
.cpe,Medium
.cpf,Low
.cpg,Low
.cph,Low
.cpio,Very High
.cpj,Low
.cpk,Low
.cpl,Very High
.cpl_aq,Low
.cpm,Low
.cpp,Very High
.cpq4,Low
.cpq5,Low
.cpr,Low
.cprr,Low
.cps,Low
.cpsd,Low
.cpt,High
.cptl,Low
.cpx,Low
.cpy,Low
.cp_,Low
.cqe,Low
.cqf,Low
.cr,Low
.cr2,Very High
.cr3,Low
.cramfs,Low
.crash,Low
.crazychickensoccersavedgame,Low
.crc,Low
.crceph,Low
.crd,Very High
.crdownload,Low
.crds,Very High
.crec,Low
.crf,Low
.crio,Low
.crl,Very High
.crmlog,Low
.cro,Low
.cron,Low
.crp,Low
.crpano,Low
.crpd,Low
.crplugin,Low
.crs,Low
.crt,Very High
.crtx,Very High
.crt_aq,Low
.crv,Low
.crw,Very High
.crwl,Low
.crx,Very High
.cryengine,Low
.cryproject,Low
.crysisjmsf,Low
.crysispsf,Low
.crz,Low
.cs,Very High
.cs1,Medium
.cs80v2,Low
.csa,Low
.csaplan,Low
.csb,Low
.csc,Low
.cscfg,Low
.cscft,Low
.cscnp,Low
.cscont,Low
.cscpflt,Low
.cscpkt,Low
.cscpro,Low
.cscta,Low
.csctf,Low
.csd,Low
.csdef,Low
.csdproj,High
.cse,Low
.csf,Very High
.csg,Low
.csh,Very High
.cshader,Medium
.cshtml,Very High
.csi,Low
.csk,Low
.cskin,Low
.csl,High
.cslog,Low
.csm,Low
.cso,Low
.csp,Medium
.cspkg,Low
.cspl,Low
.csplan,Low
.csproj,Very High
.csr,Low
.css,Very High
.csv,Very High
.csv.gz,Low
.csvenx,Low
.csx,Low
.csz,Low
.cs_,Low
.ct,High
.ct4im,Low
.cta,Low
.ctb,Medium
.ctd,Low
.ctde,Low
.ctf,Medium
.ctg,Low
.ctk,Low
.ctl,High
.ctm,Medium
.ctoa,Low
.ctp,Medium
.cts,Low
.ctt,Very High
.ctw,Low
.ctx,Medium
.ct_,Low
.cube,Low
.cud,Low
.cue,Very High
.cui,High
.cuid,Low
.cuix,Medium
.cuj,Low
.cul,Low
.culist,Low
.cup,Low
.cur,Very High
.cursor,Low
.cursorfx,Low
.curxptheme,Low
.cus,High
.cust,Low
.cut,High
.cu_,Low
.cv,Low
.cv2,Low
.cvd,Low
.cvf,Low
.cvp,Low
.cvr,Low
.cvs,Low
.cvx,Low
.cw3,Low
.cwb,Low
.cwe,Low
.cwg,Low
.cwk,Low
.cwms,Low
.cwp,Low
.cwt,Low
.cwu,Low
.cww,Low
.cxml,Low
.cxx,Very High
.cyberducklicense,Low
.cyberduckprofile,Low
.cze,Low
.czip,Low
.d,Medium
.d$$,Low
.d00,Low
.d01,Low
.d2v,Very High
.d41,Low
.d5p,Low
.d64,Low
.d81,Low
.d88,Low
.da,Low
.da5,Low
.daa,High
.dacpac,High
.dae,High
.daf,Low
.dai,Low
.dal,Low
.dan,Low
.dao,Medium
.dap,Low
.daproj,Low
.dar,Low
.dart,Medium
.das,Low
.dat,Very High
".dat""",Low
.data,Low
.database,Low
.datasource,Very High
.dat_bak_48396,Low
.dav,High
.dax,Low
.daz,Low
.da_,Low
.db,Very High
".db""",Low
.db-journal,Low
.db2,Low
.db3,Low
.dba,Low
.dbb,Low
.dbc,Low
.dbd,Low
.dbdif,Low
.dbf,High
.dbg,Low
.dbk,Low
.dbl,Low
.dbm,Low
.dbml,Very High
.dbop,Low
.dbp,Medium
.dbpf,Low
.dbpro,Low
.dbproj,Medium
.dbq,High
.dbr,Low
.dbs,Low
.dbsdif,Low
.dbt,High
.dbunit,Low
.dbw,Low
.dbx,Very High
.dbx-backup,Low
.dbx-external-drive,Low
.dbx-passwords,Low
.dbx-vault,Low
.dbxlink,Low
.dbx_aq,Low
.db_,Low
.dc,Low
.dc1,Low
.dc2,Low
.dc3,Low
.dc42,Medium
.dca,Low
.dcc,Low
.dcd,Low
.dce,Medium
.dcext,Low
.dcf,Low
.dcl,High
.dcls,Low
.dcm,Very High
.dcm30,Low
.dcmjp2k,Low
.dcmjp2kl,Low
.dcp,Very High
.dcpr,Very High
.dcr,Very High
.dcs,Very High
.dcst,Very High
.dct,Very High
.dctmp,Low
.dctx,Very High
.dctxc,Very High
.dcu,Low
.dcupdate,Low
.dcupdatezip,Low
.dcv,Low
.dcvr,Low
.dcx,Very High
.dd,High
.dd32,Low
.dd64,Low
.ddb,Low
.ddd,Low
.ddf,Medium
.ddl,Low
.ddoc,Low
.ddp,Low
.dds,Very High
.ddt,Low
.ddwscan,Low
.de2,Low
.deadspacesave,Low
.deb,Very High
.debuglog,Low
.dec,Low
.deck,Low
.ded,Low
.deejam,Low
.deepblueseasavedgame,Low
.def,Very High
.default,Low
.definition,Low
.dek,Low
.del,High
.dem,Very High
.democracy,Low
.deploymentoptions,Low
.deploymenttargets,Low
.deployproj,Low
.deproj,Low
.der,Very High
.des,High
.design,Low
.desklink,Very High
.desksoftlicense,Low
.deskthemepack,Very High
.desktop,Low
.dess,High
.det,Very High
.deu,High
.deusex,Low
.dev,Medium
.deviceinfo,Low
.devicemetadata-ms,Low
.devpackage,Low
.devpak,Low
.dex,Low
.de_,Low
.dfd,Low
.dff,Medium
.dfl,Low
.dfm,Medium
.dfont,Low
.dfproj,Medium
.dft,Medium
.dfu,Low
.dfx,Low
.dfxp,Low
.dg-key,Low
.dg1,Low
.dgaddin,Low
.dgc,Low
.dgcr,Low
.dgf,Low
.dgi,Low
.dgimglib,Low
.dgl,Low
.dgm,Low
.dgmarker,Low
.dgml,Very High
.dgn,High
.dgp,Low
.dgprint,Low
.dgr,Low
.dgrecommend,Low
.dgscheme,Low
.dgscheme-web,Low
.dgscript,Low
.dgsl,High
.dgtoolbar,Low
.dgu,Low
.dgz,Low
.dhl,Low
.dhr,Low
.dht,Medium
.dhtml,Low
.di,Low
.dia,Low
.diag,High
.diagcab,Very High
.diagcfg,Very High
.diagpkg,Very High
.diagsession,High
.dialog,Low
.diamonddetectivesavedgame,Low
.dib,Very High
.dic,Very High
.dicom,High
.dicombz2,Low
.dicomzip,Low
.dict,Low
.dif,Very High
.diff,High
.digi,Low
.dim,Medium
.din,Low
.dinerdash2savedgame,Low
.dinerdash4savedgame,Low
.dinerdashsavedgame,Low
.dip,Low
.dipx,Low
.dir,Low
.dired,Low
.dis,Low
.disabled,Very High
.disc,Low
.disco,Very High
.discovery,Low
.disk,Low
.diskcopy42,Low
.diskdefines,Low
.disktective,Low
.dist,Low
.dita,Low
.ditamap,Low
.ditaval,Low
.div,Very High
.divx,Very High
".divx""",Low
.dix,Low
.diz,Very High
.di_,Low
.djanimations,Low
.djd,Low
.djl,Low
.djmusic,Low
.djplugin,Low
.djprojects,Low
.djrevealers,Low
.djswipes,Low
.djv,Very High
.djvu,Very High
