extension,description,used_by
DBA,DarkBasic source code,
DBC,Database Connection configuration file,AbInitio
DEB,deb software package,Debian Linux and derivatives
DNG,"Digital Negative, a-publicly available archival format for the raw files generated by digital cameras","At least 30 camera models from at least 10 manufacturers, and at least 200 software products"
DOC,"A Document, or an ASCII text file with text formatting codes in with the text; used by many word processors",Microsoft Word and others
DRC,Dirac format video,
DSC,Celestia Deep Space Catalog file,Celestia
DTD,Document Type Definition,
EBD,"versions of DOS system files (AUTOEXEC.BAT, COMMAND.COM, CONFIG.SYS, WINBOOT.SYS, etc.) for an emergency boot disk","Windows 98, ME"
EDE,Ensoniq EPS disk image,AWAVE
EDF,European data format,Medical timeseries storage files
EIS,EIS Spectrum Analyser Project,EIS Spectrum Analyser Archived 2010-03-29 at the Wayback Machine
ELC,Byte-compiled Emacs Lisp code,Emacs
ELF,Executable and Linkable File EurekaLog File (contains details of an exception),Unix EurekaLog (https://www.eurekalog.com/)
EML,Email conforming to RFC 5322; Stationery Template,Email clients;Outlook Express
EPA,Award BIOS splash screen,"Award BIOS, XnView"
ERL,Erlang source code file,
ESD,Windows Imaging Format,"ImageX, DISM, 7-Zip, wimlib"
ETL,event trace log file,Microsoft
FAA,FASTA format amino acid,
FEN,Forsyth–Edwards Notation,Chess applications -text data describes a specific position.
FLP,FL Studio project file,FL Studio
FLV,A container format for Flash Video (see also SWF),Adobe Flash
FNA,FASTA format nucleic acid,
FNI,FileNet Native Document,FileNet
FOR,Fortran language source file,many
FRM,MySQL Database Metadata,MySQL
GBR,Gerber format,PCB CAD/CAM
GDT,"Gerätedatentransfer, an xDT application",Healthcare providers in Germany
GED,GEDCOM,Genealogy data exchange
GGB,GeoGebra File,GeoGebra
GIF,Compuserves' Graphics Interchange Format (bitmapped graphics),QPeg - Display - CompuShow
GMI,Gemtext markup language,Gemini (Protocol)
GRP,Data pack files for the Build Engine,Duke Nukem 3D
GTF,Gene transfer format,
HAR,HTTP Archive format (JSON-format web-browser log),W3C draft standard
HOF,Basic Configuration file,OMSI The Bus Simulator
HTA,HTML Application,Microsoft Windows
HTM,see HTML,
HUM,3D Model database,OMSI The Bus Simulator
HXX,C++ header file,
ICC,ICC profile,Color Configuration for color input or output devices
ICL,Icon library,Microsoft Windows
ICO,Icon file,ICONEDIT.EXE; Microsoft Windows
IMG,Disk image,
INI,Configuration file,
IPT,XnView IPTC template,"XnView, XnViewMP"
ISO,ISO-9660 table,see: List of ISO image software
JAR,Java archive,"JAR, Java Games and Applications"
JAV,see JAVA,
JPE,Joint Photographic Experts Group graphics file format,Minolta/Konica Minolta cameras use this for JPEGs in Adobe RGB color space
KEY,Keynote Presentation,Keynote
KLC,MSKLC Source file,Microsoft Keyboard Layout Creator
KML,Keyhole Markup Language,Google Earth
KMZ,Keyhole Markup Language (Zip compressed),Google Earth
KRA,Krita image file,Krita
KSH,Kornshell source file,Kornshell
LBR,.LBR Archive,for CP/M and MS-DOS using the LU program
LDB,.LDB Leveldb data file,Google key-value storage library
LDB,.LDB MDB Database lock file,Microsoft Access Database
LHA,LHA Archive,"LHA/LHARC, Total Commander"
LNK,Local file shortcut,Microsoft Windows
LUA,Lua script file,Lua (programming language)
MCF,Multimedia Container Format (predecessor of Matroska),
MDF,"Master Data File, a Microsoft SQL Server file type",Microsoft SQL Server
MDF,"Measurement Data Format, a binary file format for vector measurement data","automotive industry, developed by Robert Bosch GmbH"
MDI,"Document save in high-resolution, created by MSOffice to scan documents (OCR) and turn them into a .DOC",Microsoft Office
MDG,"Digital Geometry (Programmable CAD) file format, developed by DInsight",Digital Geometric Kernel
MDL,Model,3D Design Plus or Simulink
MDS,Midi Session,Sound Imp.
MEX,MEX file (executable command),Matlab
MGF,Materials and Geometry Format,
MHT,MIME encapsulation of aggregate HTML documents,Web Browsers
MID,Standard MIDI file,"music synthetizers, Winamp"
MNT,Surface metrology or image analysis document,MountainsMap
MOD,AMPL model file,AMPL
MOD,Modula language source,
MOD,Modula-2 source code file,Clarion Modula-2
MOL,MDL Molfile,RasMol
MOV,Animation format (Mac),"QuickTime, AutoCAD AutoFlix"
MPA,"MPEG audio stream, layer 1,2,3",AWAVE
MPC,Musepack audio,
MPD,LDraw file (multi-part DAT file),LDraw
MPG,see MPEG,
MSC,management saved console,Microsoft; Microsoft MMC
MSF,Multiple sequence file (Pileup format),
MSI,Windows Installer Package,Microsoft Windows
MSO,Microsoft Outlook metadata for a Microsoft Word 2000 email attachment,Microsoft Outlook
MSU,Microsoft Update Package,Microsoft Windows
MTS,See M2TS,
MXF,"Material exchange format (RFC 4539, SMPTE 377M)",
MYD,a MyISAM data file in MySQL,"MyISAM, MySQL"
MYI,a MyISAM index file in MySQL,"MyISAM, MySQL"
NDS,Nintendo DS file. Used for Homebrew and official games.,Nintendo DS Consoles and Emulators
NEU,Pro/Engineer neutral file format,PTC Pro/Engineer
NFO,iNFO for accompanying media files,"Kodi, Plex"
NIM,Nim source code file,Nim
NMF,Node Map File,Used by SpicyNodes
NPR,Nuendo Project File,Steinberg Nuendo
NSV,media,Nullsoft Streaming Video
OBS,Script,ObjectScript
ODB,Database front end document,"OpenDocument, LibreOffice"
ODS,Spreadsheets,"OpenDocument, LibreOffice, Collabora Online"
OGA,Audio file in the Ogg container format,libogg
OGG,Vorbis audio in the Ogg container format,libogg
OGX,Ogg Multiplex Profile,libogg
ORG,Emacs Org mode,Emacs Org mode major mode
ORG,Older Origin Project,Origin versions 4 or earlier
OSC,OpenStreetMap Changeset,OpenStreetMap
OSK,Osu! Skin,Osu!
OSM,OpenStreetMap data,OpenStreetMap
OSM,OpenStreetMap note,OpenStreetMap
OST,Offline Storage Table,"Microsoft e-mail software: Outlook Express, Microsoft Outlook"
OTL,The Vim Outliner,A vim plugin
OTP,Presentations template,"OpenDocument, LibreOffice, Collabora Online"
OTS,Spreadsheets template,"OpenDocument, LibreOffice, Collabora Online"
OTT,Text (Word processing) documents template,"OpenDocument, LibreOffice, Collabora Online"
PAK,Archive,Pak
PAL,Paint Shop Pro color palette (JASC format),"PaintShop Pro, XnView"
PAM,PAM Portable Arbitrary Map graphics format,Netpbm
PAS,Pascal language source,Borland Pascal
PAX,pax archive file,"pax, GNU Tar"
PBO,A file type used by Bohemia Interactive,"Arma 3, PBO Manager"
PCL,HP-PCL graphics data file,HP Printer Command Language
PCS,PCSurvey file,PCSurvey by Softart - Land Surveying Software
PDB,debugging data,Microsoft Windows
PDB,Molecule (protein data bank),
PDE,Processing source code file,Processing programming language
PDF,Adobe's Portable Document Format,Adobe Acrobat Reader
PDI,Portable Database Image,
PDM,Program,Deskmate
PDM,PowerDesigner's physical data model (relational model) file format,PowerDesigner
PDM,Visual Basic (VB) Project Information File,Visual Basic
PDN,Image file,Paint.NET
PDS,PALASM Design Description,
PDS,Planetary Data System Format,
PEM,A text-based certificate file defined in RFC 1421 through RFC 1424,"Applications that need to use cryptographic certificates, including web-servers"
PFB,PostScript font,Adobe Type Manager (ATM)
PFC,"(Personal Filing Cabinet) contains e-mail, preferences and other personal information",AOL
PGN,Portable Game Notation -Text specification for Chess game,Most chess playing computer applications
PHF,Database File,Nuverb Systems Inc: Donarius
PHN,Phun scene,Algodoo (previously Phun)
PHP,PHP file,
PHY,Phylip format,
PIE,GlovePIE script file,GlovePIE
PIR,PIR format,
PIT,Compressed Mac file archive created by PACKIT,unpackit.zoo
PIT,Partition Information Table for Samsung's smartphone with Android,Odin3
PKA,Archive,PKARC
PLR,Terraria player/character file,Terraria
PLS,"Multimedia Playlist, primarily for streaming","Shoutcast, IceCast, others"
PMA,PMarc Archive,
PNG,Portable Network Graphics file,"Web browsers, image viewing and editing applications"
POM,Build manager configuration file,Apache Maven POM file
PRP,Plasma Registry Page,Plasma (engine)
PSD,Photoshop native file format,Adobe Photoshop
PTF,PlayStation Portable Theme file,PSP Theme settings menu
PTF,Pro Tools Session File,Digidesign/Avid Pro Tools version 7 up to version 9
PTX,Pro Tools Session File,Avid Pro Tools version 10 or later
PUB,Public key ring file,Pretty Good Privacy RSA System
PUP,Pileup format,
QFX,Quicken-specific implementation of the OFX specification,Intuit Quicken
RAL,Remote Access Language file,Remote Access
RAM,Ramfile,RealAudio
RAP,Flowchart,RAPTOR
RAR,Archive,RAR
RAS,Graphics format,SUN Raster
RDP,RDP connection,Remote Desktop connection
RDS,Data file,R
RES,Compiled resource,"Microsoft C/C++, Borland C++"
RKT,Racket language source file,DrRacket integrated development environment (IDE) for the Racket (programming language)
ROL,AdLib Piano Roll,AdLib Visual Composer
RPM,RPM software package,"Red Hat Linux, the Linux Standard Base and several other operating systems"
RST,reStructuredText,Docutils
RUN,AMPL script file,AMPL
RUN,Makeself shell self-extracting archive,shell
SAT,ACIS ACIS .sat,
SAV,SPSS tabular data (binary),"PSPP, SPSS"
SBH,Header,ScriptBasic
SBV,Superbase RDBMS form definition data,Superbase (database)
SBX,For experimental extensions to Scratch,Used by scratchX (scratchx.org)
SCM,Scheme source code file,
SCR,Screen Protector file,Windows Screen Protector
SDF,SQL Server Compact database file,Microsoft SQL Server Compact
SDS,Self Defining Structure provides for N-dimensional very large datasets using HHCode,geographic information systems and relational database management systems
SEQ,Video,Tiertex video sequence
SFB,Configuration file,emacs
SFX,SFX (self-extracting archives) script,RAR
SHX,Shape entities ESRI shapefile,AutoCAD ArcGIS
SIG,Signature file,"gpg, PopMail, ThunderByte AntiVirus"
SMK,Smacker video Format (RAD Video),
SNO,SNOBOL4 source code file,
SPF,data,SQR Portable Format
SPS,SPSS program file (text),"PSPP, SPSS"
SPT,SPITBOL source code file,
SPV,SPIR-V binary file,"Vulkan, Khronos Group"
SPX,Ogg Speex bitstream,Xiph.Org Foundation
SPZ,Crestron SIMPL Windows compiled program (ZIP format),Crestron SIMPL Windows
SQL,Structured Query Language,Any SQL database
SSC,Celestia Solar System Catalog file,Celestia
SSC,Stellarium Script,Stellarium
STC,Celestia Star Catalog file,Celestia
STC,OpenOffice.org XML spreadsheet template,OpenOffice.org Calc
STD,OpenOffice.org XML drawing template,OpenOffice.org Draw
STI,OpenOffice.org XML presentation template,OpenOffice.org Impress
STK,Stockholm multiple sequence alignment,"Bioinformatics tools eg HMMER, Xrate, Jalview"
STL,surface geometry of a three-dimensional object,software by 3D Systems
STM,SSI-enabled HTML file,Server Side Includes
STP,Standard for the Exchange of Product Data,universal format for CAD exchange per ISO 10303
STW,OpenOffice.org XML text document template,OpenOffice.org Writer
SUR,"Surface topography (in native ""SURF"" format)",MountainsMap
SVC,Represents the ServiceHost instance hosted by Internet Information Services,Windows Communication Foundation
SVG,Scalable Vector Graphics,
SWF,Shockwave Flash,"Macromedia, Adobe Flash Player"
SWG,SWIG source code,SWIG
SXG,OpenOffice.org XML master document,
SXI,OpenOffice.org XML presentation,OpenOffice.org Impress
SXM,OpenOffice.org XML formula,OpenOffice.org Calc
SXP,3DS Process file,3D Studio
SXW,OpenOffice.org XML text document,OpenOffice.org Writer
TAK,"Audio codec, Lossless audio file format","Winamp (+Plugin), foobar2000 (+Plugin), Media Player Classic – BE"
TAR,tar archive,tar and other file archivers with support
TAZ,tar archive compressed with compress,tar and other file archivers with support
TBZ,,
TER,Terragen heightmap file,Terragen scenery generator
TGA,Truevision Advanced Raster Graphics Adapter image,
TGT,Target configuration file,Target active security software
TGZ,tar archive compressed with gzip,tar and other file archivers with support
THM,Thumbnail File,"GoPro, Android, some versions of iOS (Accessible via computer or Jailbreak, on User/Media/PhotoData/Metadata/DCIM)"
TIF,See TIFF,
TLB,Type library,A binary file with information about a COM or DCOM object so other applications can use it at runtime. Created by Visual C++ or Visual Studio. Used by many Windows applications.
TLZ,tar archive compressed with LZMA,tar and other file archivers with support
TMP,Temporary file,
TSV,Tab-separated values,
TTC,TrueType Font collection,
UOS,Uniform Office Format spreadsheet,
UST,Vocal synthesis track data,UTAU
VBS,VBScript script file,VBScript
VDA,Targa bitmap graphics,many raster graphics editors
VDI,Virtual Disk Image,VirtualBox
VRB,LateX Beamer file containing verbatim commands,LaTeX Beamer
VRB,Veeam reversed incremental backup archive,Veeam software
VST,Truevision Vista graphics,many raster graphics editors
VTF,Valve Texture Format file,Valve Corporation
WAD,"Default package format for Doom that contains sprites, levels, and game data",Doom and Doom II
WAV,Sound format (Microsoft Windows RIFF WAVE),Media Player
WMA,Windows Media Audio file Advanced Systems Format,
WOS,WoS bibliographic reference file,ISI/Clarivate Analytics
XAR,Xara graphics file,Files created by Xara Photo & Graphic Designer (formerly Xara Xtreme and Xara Studio); early versions used the extension ART
XAR,eXtensible ARchive,"xar, 7-Zip"
XLS,Microsoft Excel Spreadsheet,Microsoft Excel
XML,eXtensible Markup Language file,
XPL,X-Plane system file,Laminar Research
XSD,XML schema description,
YML,YML markup file,domain specific language output to XML
